test_id,time
1,271
2,157
3,211
4,159
5,193
6,201
7,136
8,146
9,131
10,190
11,166
12,162
13,120
14,115
15,151
16,145
17,134
18,152
19,182
20,198
21,226
22,176
23,209
24,180
25,156
26,171
27,157
28,148
29,117
30,168
31,146
32,168
33,146
34,153
35,119
36,159
37,187
38,151
39,127
40,153
41,146
42,215
43,224
44,146
45,158
46,216
47,172
48,124
49,185
50,142
51,159
52,153
53,130
54,178
55,198
56,129
57,135
58,158
59,102
60,124
61,169
62,162
63,118
64,138
65,173
66,158
67,109
68,140
69,174
70,210
71,142
72,172
73,195
74,147
75,150
76,145
77,134
78,148
79,164
80,144
81,205
82,126
83,160
84,164
85,167
86,216
87,174
88,181
89,170
90,136
91,155
92,171
93,153
94,158
95,179
96,172
97,106
98,147
99,152
100,213
