test_id,time
1,56676
2,57064
3,57650
4,58026
5,57898
6,58419
7,59461
8,58497
9,51315
10,50077
11,62369
12,60382
13,55264
14,48134
15,52492
16,48751
17,49353
18,53562
19,64131
20,56901
21,55074
22,61128
23,58589
24,59835
25,57614
26,56183
27,55287
28,54799
29,67158
30,50146
31,52316
32,66964
33,51596
34,55025
35,52407
36,52952
37,58152
38,52678
39,49365
40,52098
41,48897
42,52411
43,56615
44,64416
45,57252
46,49403
47,58659
48,49612
49,53143
50,59676
51,56089
52,58194
53,55551
54,53934
55,55743
56,59386
57,53843
58,53364
59,47995
60,47190
61,59171
62,57371
63,50511
64,55452
65,55919
66,57781
67,62375
68,57527
69,64422
70,54212
71,53521
72,55510
73,53717
74,54405
75,59932
76,67650
77,52723
78,54753
79,53322
80,49531
81,50660
82,51138
83,48176
84,47906
85,52997
86,44706
87,49997
88,57672
89,50964
90,52300
91,50287
92,52070
93,48253
94,47756
95,46003
96,41800
97,40934
98,40893
99,41348
100,43626
