test_id,time
1,297
2,197
3,189
4,144
5,160
6,136
7,226
8,150
9,177
10,182
11,126
12,157
13,154
14,129
15,202
16,174
17,124
18,157
19,187
20,151
21,244
22,130
23,177
24,175
25,114
26,160
27,185
28,183
29,157
30,180
31,155
32,139
33,133
34,180
35,161
36,167
37,154
38,178
39,168
40,174
41,145
42,150
43,203
44,136
45,204
46,184
47,195
48,152
49,195
50,170
51,150
52,203
53,188
54,206
55,178
56,137
57,171
58,233
59,259
60,172
61,157
62,168
63,182
64,139
65,123
66,217
67,157
68,258
69,114
70,171
71,160
72,185
73,200
74,197
75,187
76,128
77,204
78,134
79,165
80,171
81,158
82,172
83,161
84,177
85,162
86,174
87,145
88,171
89,156
90,136
91,186
92,153
93,141
94,137
95,161
96,191
97,191
98,164
99,161
100,171
