test_id,time
1,896
2,823
3,606
4,760
5,623
6,678
7,740
8,652
9,625
10,826
11,565
12,729
13,667
14,640
15,653
16,593
17,656
18,544
19,710
20,705
21,778
22,643
23,741
24,819
25,622
26,702
27,737
28,653
29,765
30,661
31,661
32,588
33,744
34,802
35,632
36,813
37,744
38,781
39,794
40,581
41,758
42,734
43,611
44,935
45,615
46,737
47,745
48,763
49,661
50,597
51,642
52,826
53,721
54,772
55,658
56,720
57,658
58,666
59,768
60,627
61,703
62,613
63,689
64,645
65,622
66,698
67,854
68,781
69,818
70,629
71,832
72,737
73,631
74,677
75,633
76,672
77,626
78,611
79,669
80,700
81,802
82,740
83,675
84,639
85,710
86,773
87,697
88,526
89,547
90,733
91,799
92,793
93,836
94,657
95,764
96,668
97,722
98,719
99,805
100,716
