test_id,time
1,108
2,106
3,95
4,45
5,45
6,33
7,22
8,20
9,71
10,32
11,46
12,19
13,29
14,62
15,38
16,21
17,35
18,28
19,20
20,61
21,46
22,70
23,24
24,73
25,35
26,41
27,27
28,128
29,23
30,29
31,37
32,35
33,31
34,145
35,43
36,49
37,77
38,47
39,29
40,46
41,41
42,59
43,50
44,14
45,39
46,10
47,42
48,51
49,41
50,37
51,27
52,20
53,30
54,33
55,52
56,23
57,51
58,26
59,24
60,27
61,27
62,36
63,35
64,42
65,21
66,15
67,44
68,40
69,26
70,9
71,38
72,35
73,35
74,26
75,41
76,34
77,42
78,27
79,25
80,37
81,38
82,18
83,18
84,20
85,70
86,38
87,34
88,31
89,39
90,36
91,17
92,34
93,16
94,22
95,19
96,43
97,31
98,50
99,14
100,23
